policy,seed,benefit,completed_tasks,completion_rate,relevant_completion_rate,average_response_time,makespan,flight_time,failures,invalid_actions,steps
Greedy online,75,0.6369240511782059,6,1.0,0.6666666666666666,12.5,61.0,29.590412278083452,0,0,14
PPO,75,0.6511145485348321,6,1.0,0.6666666666666666,12.333333333333334,65.0,28.579778762509616,0,0,15
Greedy online,76,0.7723859377638312,6,1.0,0.8333333333333334,13.166666666666666,62.0,33.25821816802375,1,0,16
PPO,76,0.7825224457007598,6,1.0,0.8333333333333334,11.5,57.0,32.39961767827778,0,0,14
Greedy online,77,0.8408793313434652,6,1.0,0.8333333333333334,10.0,41.0,23.57427405306535,0,0,14
PPO,77,0.8323704980266929,6,1.0,0.8333333333333334,10.666666666666666,42.0,23.87800656415759,0,0,14
Greedy online,78,0.7210228282805344,6,1.0,0.6666666666666666,13.833333333333334,51.0,28.54610795204856,0,0,14
PPO,78,0.7845013691367542,6,1.0,0.8333333333333334,12.5,52.0,30.57433505055862,0,0,15
Greedy online,79,0.9718296959775269,6,1.0,1.0,17.166666666666668,42.0,28.747867269285276,0,0,13
PPO,79,0.9762095567372846,6,1.0,1.0,19.0,51.0,29.2080460650315,1,0,14
Greedy online,80,0.7828357125078342,6,1.0,0.8333333333333334,9.666666666666666,58.0,31.194147168165216,0,0,14
PPO,80,0.780401434800565,6,1.0,0.8333333333333334,10.0,61.0,35.03582903794232,0,0,16
Greedy online,81,0.6742588826887403,6,1.0,0.8333333333333334,9.5,54.0,35.064455075619236,0,0,15
PPO,81,0.6079202465685303,6,1.0,0.8333333333333334,12.5,57.0,35.81617364356553,0,0,18
Greedy online,82,0.6987883983779629,6,1.0,0.6666666666666666,13.333333333333334,60.0,27.08362086110093,1,0,14
PPO,82,0.763903246323455,6,1.0,0.6666666666666666,14.5,59.0,35.950560516550325,0,0,14
Greedy online,83,0.7823418259703183,6,1.0,0.8333333333333334,13.166666666666666,53.0,30.2365371537742,0,0,13
PPO,83,0.791205878328406,6,1.0,0.8333333333333334,13.333333333333334,53.0,30.002962474526626,0,0,14
Greedy online,84,0.7822591981170941,6,1.0,0.8333333333333334,10.5,56.0,30.49071254740432,0,0,14
PPO,84,0.7822591981170941,6,1.0,0.8333333333333334,10.833333333333334,56.0,30.449990044333255,0,0,13
Greedy online,85,0.8849437566826581,6,1.0,1.0,11.5,50.0,29.39463635667486,0,0,15
PPO,85,0.8391111442399942,6,1.0,1.0,12.5,56.0,28.488873216371054,0,0,13
Greedy online,86,0.875331694656327,6,1.0,1.0,11.0,54.0,30.83388846916353,0,0,16
PPO,86,0.9054493254316227,6,1.0,1.0,11.166666666666666,54.0,32.83197592100218,0,0,15
Greedy online,87,0.8106490044704077,6,1.0,0.8333333333333334,15.333333333333334,50.0,31.267779283792358,0,0,14
PPO,87,0.9622136331473046,6,1.0,1.0,16.0,46.0,29.907374827460284,1,0,14
Greedy online,88,0.7024877409248553,6,1.0,0.6666666666666666,11.0,52.0,29.033491720320015,0,0,14
PPO,88,0.7024877409248553,6,1.0,0.6666666666666666,11.0,52.0,28.83150414291909,0,0,14
Greedy online,89,0.7614889413927086,6,1.0,0.8333333333333334,12.333333333333334,59.0,32.94533180635331,0,0,15
PPO,89,0.7614889413927086,6,1.0,0.8333333333333334,12.5,59.0,33.322149385545686,0,0,15
Greedy online,90,0.8666125956313577,6,1.0,1.0,11.166666666666666,53.0,31.167230570101218,1,0,16
PPO,90,0.8582980858273985,6,1.0,1.0,11.666666666666666,54.0,34.20779636891552,1,0,17
Greedy online,91,0.8921039741279203,6,1.0,1.0,11.0,53.0,26.95076855123105,1,0,14
PPO,91,0.8921039741279203,6,1.0,1.0,11.0,53.0,26.95076855123105,1,0,14
Greedy online,92,0.47550379860719466,6,1.0,0.5,15.333333333333334,78.0,31.190797218834067,1,0,17
PPO,92,0.47550379860719466,6,1.0,0.5,15.333333333333334,78.0,31.190797218834067,1,0,17
Greedy online,93,0.7326393940028469,6,1.0,0.8333333333333334,19.833333333333332,58.0,30.792198989488988,1,0,15
PPO,93,0.7781399190799936,6,1.0,0.8333333333333334,18.333333333333332,52.0,31.72903900348918,1,0,15
Greedy online,94,0.7725271501996979,6,1.0,0.8333333333333334,15.0,57.0,29.896905487156634,1,0,16
PPO,94,0.7965281700247645,6,1.0,0.8333333333333334,14.5,57.0,31.58301210775423,1,0,15
Greedy online,95,0.745731500799202,6,1.0,0.8333333333333334,11.5,40.0,27.661312975673873,0,0,15
PPO,95,0.7082632812568828,6,1.0,0.8333333333333334,13.5,53.0,29.29101954088115,1,0,14
Greedy online,96,0.7078745536620792,6,1.0,0.8333333333333334,12.333333333333334,55.0,26.94552053657473,1,0,14
PPO,96,0.712131649583413,6,1.0,0.6666666666666666,11.833333333333334,55.0,27.663927104722827,1,0,15
Greedy online,97,0.7368465006265439,6,1.0,0.8333333333333334,14.0,67.0,34.46278205986243,1,0,16
PPO,97,0.8243278680062273,6,1.0,0.8333333333333334,14.5,67.0,34.48278780202524,1,0,17
Greedy online,98,0.6759007559364036,6,1.0,0.8333333333333334,16.0,59.0,33.60206774766493,1,0,16
PPO,98,0.7292728292807524,6,1.0,0.8333333333333334,12.833333333333334,52.0,31.177561014914286,1,0,16
Greedy online,99,0.7954818865954968,6,1.0,0.8333333333333334,12.0,59.0,29.300121891733184,0,0,16
PPO,99,0.8723588719644172,6,1.0,1.0,11.666666666666666,60.0,29.59542084296336,0,0,15
